accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
0,1,['Sierra Hauser'],"['Enrique Columbus', 'Melissa Columbus', 'Sam Columbus', 'Alicia Columbus', 'Mary Columbus']",5,1,97
0,0,[],"['Hettie Columbus', 'Theresa Columbus', 'Delmar Columbus', 'Bianca Columbus', 'Effie Columbus', 'Bonnie Columbus']",6,0,101
0,0,[],"['Emmett Columbus', 'Emily Columbus']",2,0,107
0,1,['Jon Hauser'],"['Mona Columbus', 'Alonzo Columbus', 'Katie Columbus', 'Charles Columbus', 'Clinton Columbus']",5,1,109
0,1,['Kenneth Columbus'],"['David Columbus', 'Raymond Columbus']",2,1,113
0,0,[],"['Elizabeth Columbus', 'William Columbus', 'Sean Columbus', 'Charlene Columbus', 'Jeanne Columbus', 'Nathan Columbus', 'Zula Columbus', 'Bryce Columbus']",8,0,114
1,0,['Donald Columbus'],"['Paul Columbus', 'Ellen Columbus', 'John Columbus', 'Jason Columbus', 'Melissa Columbus', 'Carlton Columbus']",6,1,122
1,0,['Paul Columbus'],"['Louis Columbus', 'Mark Columbus', 'Ty Columbus', 'Teresa Columbus']",4,1,127
0,1,['Keith Columbus'],"['Kourtney Columbus', 'Louise Columbus']",2,1,130
0,1,['Marilyn Ashmore'],"['Joshua Columbus', 'Josephine Columbus', 'Michael Columbus', 'Charles Columbus', 'Maya Columbus', 'George Columbus']",6,1,131
0,1,['Frieda Ashmore'],"['Erica Columbus', 'Ashlee Columbus', 'Paul Columbus']",3,1,136
1,2,"['Roberta Hauser', 'Laurie Hauser', 'Renee Columbus']","['Holly Columbus', 'Susana Columbus', 'Margaret Columbus']",3,3,138
0,1,['Selene Ashmore'],"['Patricia Ashmore', 'Darrell Columbus', 'Orlando Columbus', 'Randy Columbus']",4,1,138
0,1,['Claude Columbus'],"['Virginia Columbus', 'Jean Columbus', 'Francesca Ashmore', 'Ruby Columbus', 'Gary Columbus', 'Willie Columbus']",6,1,141
0,1,['Eddie Ashmore'],"['Jan Columbus', 'Jean Columbus', 'Patsy Columbus', 'Ronald Ashmore', 'Brandon Columbus', 'Diane Columbus', 'Therese Columbus', 'Richard Columbus']",8,1,146
0,0,[],"['Debbie Columbus', 'Corey Columbus', 'Virginia Columbus', 'Myra Columbus', 'Glenda Columbus']",5,0,153
0,0,[],"['Jimmie Columbus', 'Roger Columbus', 'Shelia Columbus', 'Barbara Columbus', 'Cora Columbus', 'Jeff Columbus', 'Gayle Columbus', 'Linda Columbus']",8,0,158
1,0,['Curtis Columbus'],"['Ray Columbus', 'Walter Columbus', 'Susie Columbus', 'Barbara Columbus', 'Carlton Columbus', 'Mark Columbus']",6,1,166
0,0,[],"['Nona Columbus', 'Grazyna Columbus', 'Yen Columbus', 'Norman Columbus', 'Kathleen Columbus', 'Michell Columbus', 'Joan Columbus', 'Esther Columbus', 'Carolyn Columbus', 'Richard Columbus', 'Julius Columbus']",11,0,171
1,0,['Ana Columbus'],"['Gladys Columbus', 'William Columbus', 'Stephen Columbus', 'Leonard Columbus', 'Annabelle Columbus', 'Jerry Columbus', 'Brandon Columbus', 'William Columbus', 'Nicholas Columbus', 'Joseph Columbus']",10,1,182
1,0,['Micah Columbus'],"['Minda Columbus', 'Francis Columbus', 'Jamie Columbus', 'Glenn Columbus']",4,1,191
1,0,['Jason Columbus'],"['Shelia Columbus', 'Jack Columbus', 'Henry Columbus', 'Joseph Columbus', 'Lauren Columbus', 'Matthew Columbus', 'Albertina Columbus', 'Susan Columbus', 'Phyllis Columbus', 'Barbara Columbus', 'Larry Columbus', 'Bernard Columbus', 'James Columbus', 'Carrie Columbus']",14,1,194
1,1,"['Monica Columbus', 'Ellen Columbus']","['Germaine Columbus', 'Eula Columbus', 'Marie Columbus', 'John Columbus', 'Benjamin Columbus', 'Paula Columbus', 'Luis Columbus', 'Joan Columbus']",8,2,207
1,0,['Darrell Columbus'],"['Martha Columbus', 'Don Columbus', 'Lucille Columbus', 'Katherine Columbus', 'Angela Columbus', 'Kristian Columbus', 'Martin Columbus', 'Giselle Columbus']",8,1,213
0,0,[],"['Douglas Columbus', 'Betty Columbus', 'Daniel Columbus', 'David Columbus', 'Ronald Columbus', 'Cornelius Columbus', 'Martha Columbus', 'Brianna Columbus']",8,0,220
1,0,['Martha Columbus'],"['John Columbus', 'Lauren Columbus', 'James Columbus', 'Helen Columbus', 'Margarita Columbus']",5,1,228
0,0,[],"['Joseph Columbus', 'David Ashmore', 'Stan Columbus', 'Francisco Columbus', 'Joseph Columbus', 'Leo Columbus']",6,0,232
1,0,['Albertina Columbus'],"['Carl Columbus', 'Donna Columbus', 'Louann Columbus', 'Anna Columbus', 'Brian Columbus', 'Geraldine Columbus', 'Robert Columbus', 'Nona Columbus', 'Britney Columbus', 'Jessica Columbus']",10,1,238
0,1,['Leland Columbus'],"['Jim Columbus', 'Daniel Columbus', 'William Columbus', 'Doris Columbus', 'Gary Columbus', 'Mary Columbus', 'Kenyatta Columbus']",7,1,247
1,2,"['Jene Columbus', 'Margie Columbus', 'Paul Columbus']","['Nelson Columbus', 'Dean Columbus', 'Patricia Columbus', 'Robert Columbus', 'Homer Columbus', 'Anita Columbus', 'Kenneth Columbus', 'Bridgette Columbus', 'Christina Columbus', 'Sheila Columbus', 'Gina Columbus', 'Lavonne Columbus']",12,3,253
0,2,"['John Columbus', 'Kyle Columbus']","['Taisha Columbus', 'Jonathan Columbus', 'John Columbus', 'Wendy Columbus', 'Flora Columbus', 'Aisha Columbus', 'Bennie Columbus', 'Floyd Ashmore']",8,2,262
0,1,['Vergie Columbus'],"['Mary Columbus', 'Ron Columbus', 'Edwin Columbus', 'Timothy Columbus', 'Joel Columbus', 'Mike Columbus', 'Anthony Columbus', 'Christine Columbus', 'Hector Columbus', 'David Columbus', 'Regina Columbus', 'Susan Columbus', 'William Columbus', 'Frederick Columbus', 'Daniel Columbus']",15,1,268
0,0,[],"['Cindy Columbus', 'Aimee Columbus', 'Israel Columbus', 'Frances Columbus', 'Virginia Columbus', 'John Columbus']",6,0,282
0,2,"['Randall Columbus', 'Tina Ashmore']","['Lawrence Columbus', 'Joel Columbus', 'Kevin Columbus', 'Elke Columbus', 'Robert Columbus', 'Billy Columbus', 'Mary Columbus', 'Blanche Columbus', 'Laura Columbus', 'Williams Columbus', 'Donald Columbus', 'Donald Columbus']",12,2,288
1,1,"['Ethel Columbus', 'Jan Columbus']","['Jillian Columbus', 'Wendell Columbus', 'Margaret Columbus', 'Billy Columbus', 'Alexander Columbus', 'Walter Columbus', 'Stanley Ashmore', 'Kimberly Columbus', 'Sharon Columbus']",9,2,298
1,2,"['Donnie Columbus', 'Kevin Columbus', 'Kori Columbus']","['Karen Columbus', 'William Columbus', 'Marion Columbus', 'Patricia Columbus', 'Donald Columbus', 'Brian Columbus', 'Pedro Columbus', 'Joshua Columbus', 'Heather Columbus', 'Katherine Columbus', 'James Columbus', 'Barbara Columbus']",12,3,305
2,0,"['Clinton Columbus', 'Zula Columbus']","['Casey Columbus', 'William Columbus', 'James Columbus', 'Roy Columbus', 'John Columbus', 'Jennifer Columbus', 'Marie Columbus', 'Tina Columbus', 'Rhonda Columbus']",9,2,314
